,m,P,r,l,T,ρ,ε,κ,∇_ad,∇,nature
0,2.6453700000000007e+23,1.7194560814713648e+17,9289663.582292942,9.517169441558093e+24,16138779.234377438,78.77669448399024,35.97663744524215,1.2892034914004,0.4,0.4,convective
1,2.658663579790584e+30,1.684870802294212e+17,2007877414.3367426,9.140868683536945e+31,16008521.093301388,77.82120274650357,33.34028541706648,1.303065459416731,0.4,0.4,convective
2,5.317326895044168e+30,1.664828056337274e+17,2532650996.285034,1.780720859618748e+32,15932281.15258208,77.26396767390145,31.920818932271988,1.3113397110335943,0.4,0.4,convective
3,7.975990210297752e+30,1.6479321802583066e+17,2903382595.9119987,2.613735644005243e+32,15867590.555380328,76.7920921734032,30.78160099488739,1.3184546222545226,0.4,0.4,convective
4,1.0634653525551335e+31,1.632974068088945e+17,3199525478.0212545,3.418896452236243e+32,15809978.285290448,76.37275365462116,29.814262660024575,1.3244281350855505,0.4,0.4,convective
5,1.3293316840804919e+31,1.6191771161850346e+17,3451203424.53041,4.2001078972711176e+32,15756572.757469065,75.98452370429767,28.954925639844518,1.3298252226981173,0.4,0.4,convective
6,1.5951980156058503e+31,1.606395619126197e+17,3670936400.656605,4.9595358959503316e+32,15706842.776829736,75.62373561256656,28.185484486702435,1.3348987086580102,0.4,0.4,convective
7,1.8610643471312087e+31,1.5944394612431267e+17,3867453107.4593573,5.6991748092317354e+32,15660089.680725234,75.28529334619309,27.487877123470636,1.3397118041200824,0.4,0.4,convective
8,2.1269306786565673e+31,1.583092200487775e+17,4046849486.2357473,6.420938556212345e+32,15615516.53355171,74.96317448292871,26.84494488095752,1.344339236823348,0.4,0.4,convective
9,2.3927970101819257e+31,1.572148317906026e+17,4212731404.2496057,7.126550915454313e+32,15572366.60626856,74.65152913412481,26.24212858946717,1.3488534004990775,0.4,0.4,convective
10,2.658663341707284e+31,1.5616066402657584e+17,4367353134.355148,7.816885075799732e+32,15530640.729858626,74.350471052032,25.676812910486415,1.3532519702067107,0.4,0.4,convective
11,2.9245296732326424e+31,1.551448522211541e+17,4512220194.600595,8.49266192514026e+32,15490272.332380923,74.0595980725462,25.145737899067278,1.357539685000358,0.4,0.4,convective
12,3.190396004758001e+31,1.5416428791749472e+17,4648631738.734552,9.154607388287885e+32,15451148.494596902,73.77811949665083,24.64535157026675,1.3617261671249103,0.4,0.4,convective
13,3.456262336283359e+31,1.53215850840456e+17,4777734651.793598,9.803424448788655e+32,15413155.881201131,73.50521975238873,24.172425292136438,1.3658213107700385,0.4,0.4,convective
14,3.7221286678087176e+31,1.522964088965972e+17,4900523550.102281,1.0439793148922687e+33,15376180.740821283,73.24005933736383,23.724013248171982,1.3698352691175546,0.4,0.4,convective
15,3.987994999334076e+31,1.514028181741784e+17,5017840781.273124,1.1064370589704167e+33,15340108.906018142,72.98177568238874,23.297417861596497,1.3737784427236113,0.4,0.4,convective
16,4.253861330859434e+31,1.5053192294316083e+17,5130376424.206621,1.1677790930881345e+33,15304825.7932856,72.72948392673219,22.890160303430495,1.3776614692118336,0.4,0.4,convective
17,4.519727662384793e+31,1.4968055565520653e+17,5238668289.09124,1.2280665390936542e+33,15270216.403050669,72.4822775956925,22.499955348636956,1.3814952142425163,0.4,0.4,convective
18,4.785593993910151e+31,1.488455369436785e+17,5343101917.4034195,1.287358224708614e+33,15236165.31967346,72.23922917146879,22.124689961953575,1.3852907637129566,0.4,0.4,convective
19,5.05146032543551e+31,1.480249971998752e+17,5443991128.86865,1.3457010850997175e+33,15202609.91334759,71.999781070896,21.7629756897118,1.3890535075108608,0.4,0.4,convective
20,5.317326656960868e+31,1.4721999582366035e+17,5541687549.891227,1.4031151189601514e+33,15169602.165531542,71.76425092718404,21.41473778562023,1.3927764052346456,0.4,0.4,convective
